A,B,y_pred,y_scores
viewsonicmonitor,polycomvoip,viewsonicmonitor,0.9999957085000001
viewsonicmonitor,raspberrypi,viewsonicmonitor,0.9999413490000001
viewsonicmonitor,roku2xs,viewsonicmonitor,0.9999911785000001
viewsonicmonitor,usrpe310,viewsonicmonitor,0.9999953508
viewsonicmonitor,viewsonicmonitor,viewsonicmonitor,0.9999959469
viewsonicmonitor,viziobluray,viewsonicmonitor,0.9999232292
viewsonicmonitor,vtechvsmile,viewsonicmonitor,0.9999608994
viewsonicmonitor,wiiu,viewsonicmonitor,0.9999921322
viewsonicmonitor,xboxone,viewsonicmonitor,0.9999674559
viziobluray,cortelcophone,viziobluray,1.0
viziobluray,cyberpowerups,viziobluray,0.9999997616
viziobluray,dellmonitor,viziobluray,0.9999998808
viziobluray,delloptiplex,viziobluray,0.9999994040000001
viziobluray,dellxps,viziobluray,0.9999998808
viziobluray,fluorescentlights,viziobluray,0.9999998808
viziobluray,hplaserjet,viziobluray,0.9999996424
viziobluray,hpzbook,viziobluray,0.9999996424
viziobluray,lgphone,viziobluray,0.9999998808
viziobluray,linksysrouter,viziobluray,0.9999998808
viziobluray,odroidxu4,viziobluray,0.9999995232000001
viziobluray,polycomvoip,viziobluray,1.0
viziobluray,raspberrypi,viziobluray,1.0
viziobluray,roku2xs,viziobluray,0.9999997616
viziobluray,usrpe310,viziobluray,0.9999995232000001
viziobluray,viewsonicmonitor,viziobluray,0.9999998808
viziobluray,viziobluray,viziobluray,0.9999994040000001
viziobluray,vtechvsmile,viziobluray,1.0
viziobluray,wiiu,viziobluray,0.9999995232000001
viziobluray,xboxone,viziobluray,0.9999998808
vtechvsmile,cortelcophone,vtechvsmile,0.9998950958
vtechvsmile,cyberpowerups,vtechvsmile,0.9999918938000001
vtechvsmile,dellmonitor,vtechvsmile,0.9998571873000001
vtechvsmile,delloptiplex,vtechvsmile,0.9999028444
vtechvsmile,dellxps,vtechvsmile,0.9999911785000001
vtechvsmile,fluorescentlights,vtechvsmile,0.9999307394
vtechvsmile,hplaserjet,vtechvsmile,0.9975605011
vtechvsmile,hpzbook,vtechvsmile,0.9999924898
vtechvsmile,lgphone,vtechvsmile,0.9999057055
vtechvsmile,linksysrouter,vtechvsmile,0.9998755455
vtechvsmile,odroidxu4,vtechvsmile,0.9999792576000001
vtechvsmile,polycomvoip,vtechvsmile,0.9998995066
vtechvsmile,raspberrypi,vtechvsmile,0.9997292161
vtechvsmile,roku2xs,vtechvsmile,0.9999110699
vtechvsmile,usrpe310,vtechvsmile,0.9986830354
vtechvsmile,viewsonicmonitor,vtechvsmile,0.9998226762
vtechvsmile,viziobluray,vtechvsmile,0.9998887777000001
vtechvsmile,vtechvsmile,vtechvsmile,0.9992920160000001
vtechvsmile,wiiu,vtechvsmile,0.9999732971
vtechvsmile,xboxone,vtechvsmile,0.9998221993
wiiu,cortelcophone,wiiu,1.0
wiiu,cyberpowerups,wiiu,0.9999998808
wiiu,dellmonitor,wiiu,0.9999995232000001
wiiu,delloptiplex,wiiu,0.9999998808
wiiu,dellxps,wiiu,1.0
wiiu,fluorescentlights,wiiu,0.9999997616
wiiu,hplaserjet,wiiu,1.0
wiiu,hpzbook,wiiu,0.9999997616
wiiu,lgphone,wiiu,1.0
wiiu,linksysrouter,wiiu,1.0
wiiu,odroidxu4,wiiu,1.0
wiiu,polycomvoip,wiiu,0.9999994040000001
wiiu,raspberrypi,wiiu,0.9999997616
wiiu,roku2xs,wiiu,1.0
wiiu,usrpe310,wiiu,1.0
wiiu,viewsonicmonitor,wiiu,1.0
wiiu,viziobluray,wiiu,0.9999997616
wiiu,wiiu,wiiu,1.0
xboxone,xboxone,xboxone,0.9999995232000001
xboxone,usrpe310,xboxone,0.9999988079000001
xboxone,vtechvsmile,xboxone,0.9999985695
xboxone,roku2xs,xboxone,0.9999991655
xboxone,linksysrouter,xboxone,0.9999995232000001
xboxone,polycomvoip,xboxone,0.9999972582000001
xboxone,lgphone,xboxone,0.9999988079000001
xboxone,odroidxu4,xboxone,0.9999976158
xboxone,raspberrypi,xboxone,0.9999966621
xboxone,hpzbook,xboxone,0.9999982119
xboxone,viewsonicmonitor,xboxone,0.9999966621
xboxone,viziobluray,xboxone,0.9999964237000001
xboxone,hplaserjet,xboxone,0.9999980927000001
xboxone,cortelcophone,xboxone,0.9999988079000001
xboxone,wiiu,xboxone,0.9999990463
xboxone,cyberpowerups,xboxone,0.9999988079000001
xboxone,delloptiplex,xboxone,0.9999984503
xboxone,fluorescentlights,xboxone,0.9999991655
xboxone,dellmonitor,xboxone,0.9999992847
wiiu,xboxone,wiiu,1.0
xboxone,dellxps,xboxone,0.9999984503
wiiu,vtechvsmile,wiiu,1.0
